	Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF	x	y	z
0	1	1	Superior occipital sulcus inferior LH	DorsAttnB	DorsAttnA	0.5104973394878837	0.348144201596819	0.0696834324139676	-28.290078844530427	-70.74688981101298	33.766373136183674
1	2	2	Superior occipital gyrus 	VisCent	VisCent	0.1492273100668406	0.1059822722944996	0.0105737683560865	-27.504971671904045	-80.57506540050818	18.55956368442189
2	3	2	Superior occipital gyrus 	VisCent	VisCent	0.2903200283006173	0.32338558327933	0.0207359506924463	29.199287191604753	-81.37511738314333	16.541286195916
3	4	3	Insula antero-inferior	SalVentAttnA	SalVentAttnA	0.5338968751045838	0.0496209198875908	0.15909720152791	-41.130623397936944	11.859121280636629	-10.496031764136262
4	5	3	Insula antero-inferior	SalVentAttnA	SalVentAttnA	0.1227657315051373	0.0018522511484339	0.041211369650598	39.79071379289991	15.15757021022253	-12.322325004161883
5	6	4	Middle frontal gyrus middle RH	ContA	SalVentAttnB	0.4613116571168841	0.1842930687452772	0.0461848575925304	37.50509244642484	34.89401766491534	38.209932376814606
6	7	5	Calcarine cortex posterior LH	VisCent	VisCent	0.371225719789674	0.2742516380087202	0.0205501476427907	-15.829154520259848	-91.947318264004	-7.300976393453354
7	8	6	Lateral fissure posterior ramus RH	SalVentAttnA	SalVentAttnA	0.3205930924939305	0.3664408975852389	0.0245011055469359	53.86599541313814	-30.015173697896998	29.930494679788254
8	9	7	Superior occipital gyrus superior LH	DorsAttnB	DorsAttnA	0.2381903764248042	0.4964770898437153	0.0359833923783165	-18.372725911719797	-64.27563505783966	49.369692644288705
9	10	8	Angular gyrus inferior LH	SalVentAttnA	TempPar	0.5869023424956467	0.1661360590600381	0.0579007942748088	-52.38623588485781	-51.36314560903806	14.33927552765077
10	11	9	Calcarine sulcus anterior LH	VisCent	VisPeri	0.415038628651482	0.2469424326674791	0.0329837497768262	-17.26121680679428	-58.1032627429811	-0.058019275492426914
11	12	10	Frontal pole inferior RH	ContA	ContB	0.4928572243432837	0.1462038543974834	0.0705808988318811	27.574822276389853	61.41399129030225	-0.11787536233447327
12	13	11	Midbrain superior	No network found	No network found	0.5412256749470014	0.1333634858198612	0.128263646637246	0.45400417643551805	-19.70289532859823	-3.921870412393588
13	14	12	Occipitotemporal gyrus mid-posterior RH	VisCent	DorsAttnA	0.6321806014748999	0.2065149187768508	0.0390824467139347	44.46601904360466	-46.070258540500376	-20.009167893216635
14	15	13	Insula postero-inferior medial	SomMotA	SomMotB	0.109910257605075	0.0539549646848603	0.0042427125644494	-33.78489565265263	-19.408021704239275	12.401472000175545
15	16	13	Insula postero-inferior medial	SomMotA	SomMotB	0.4875448489952821	0.1857791096679842	0.0198581424820774	36.27267376491716	-7.862956302372808	10.244719512646355
16	17	14	Cerebellum VI RH	No network found	No network found	0.4056351059437141	0.2721522318683425	0.0053436308386363	29.110270346957506	-50.641429472810984	-33.75355398939241
17	18	15	Fusiform gyrus anterior LH	VisCent	DorsAttnA	0.7190936794070912	0.0526723361463689	0.0907831235233873	-33.57945005107172	-48.339449961210505	-22.321820192652496
18	19	15	Fusiform gyrus anterior LH	VisCent	DorsAttnA	0.0865458683633784	0.0022532901709186	0.0131808618483715	32.65260243863466	-44.949238801214946	-23.479488486991507
19	20	16	Cerebellum Crus I anterior RH	No network found	No network found	0.4493673469226946	0.2813918416538872	0.0226289958758538	41.20899218056854	-56.32825489336828	-37.47362158160304
20	21	17	Supramarginal gyrus antero-superior LH	DorsAttnB	DorsAttnB	0.3826810589535925	0.3674583156451819	0.030350627357898	-53.755810834315525	-32.26189341478549	44.63211806242478
21	22	17	Supramarginal gyrus antero-superior LH	DorsAttnB	DorsAttnB	0.0306505342393865	0.0025382330449617	0.0113932006130848	51.48358275181849	-29.315159221020764	48.79299075967896
22	23	18	Angular sulcus superior LH	DefaultB	DefaultB	0.3921612382678485	0.2800243750057639	0.0260347092225527	-53.97532318232361	-55.52747482673139	34.35252880005261
23	24	19	Paracingulate sulcus LH	ContA	SalVentAttnB	0.4126868692951565	0.5077155880719105	0.0232655077538374	-9.039366537846135	22.990752387771153	44.51824131330358
24	25	20	Superior frontal gyrus superior	SalVentAttnA	SomMotA	0.5151718617617593	0.2511412198959822	0.0880775417459325	-14.077558543011932	-6.024695596948163	71.10242283931322
25	26	21	Pars triangularis LH	DefaultB	DefaultB	0.5583211001565823	0.0763394688496388	0.1031805896091038	-57.6005163892704	26.04917210104597	5.861306966492748
26	27	22	Superior longitudinal fasciculus II LH	No network found	No network found	0.0229639707165426	0.7135330342288931	0.0003406262557279	-24.889512018523448	-24.265157812046255	31.081015504191427
27	28	23	Corona radiata antero-superior	No network found	No network found	0.0125517250638157	0.6063071339519026	0.0005544953214913	-22.278043352968666	11.354678294727535	29.732494800158477
28	29	23	Corona radiata antero-superior	No network found	No network found	0.0038138579168463	0.1151815958638181	4.045167161132797e-05	14.368185750052831	2.829800090079999	30.104639458874317
29	30	24	Dorsomedial prefrontal cortex antero-superior LH	DefaultB	DefaultB	0.4710141549148122	0.1686970135814095	0.0836688541668329	-6.105203715168926	59.25119395373875	25.269305862802824
30	31	25	Superior longitudinal fasciculus III anterior LH	No network found	No network found	0.0268188188272543	0.7716491467027766	1.848049663048644e-05	-35.98188844413211	-8.579479150148487	24.30496510854273
31	32	26	Cuneus antero-inferior	VisCent	VisPeri	0.1221500432915993	0.0542779751812963	0.0196974057618531	-12.85921763769359	-79.02473888439891	10.700906614763312
32	33	26	Cuneus antero-inferior	VisCent	VisPeri	0.4269600125482005	0.2211691605673528	0.0678876019193108	12.944413927910858	-75.05307452258837	11.456440441745073
33	34	27	Anterior vertical ramus of the lateral fissure LH	DefaultB	DefaultB	0.4276966163680228	0.2032424130307503	0.0462486369750877	-50.48992658431953	20.663847835426424	7.798014598365484
34	35	28	Corpus callosum isthmus anterior	No network found	No network found	0.066827080148509	0.1372878079403965	0.1199961913848771	-16.452175441166702	-28.232278838220537	25.577836877100324
35	36	28	Corpus callosum isthmus anterior	No network found	No network found	0.0666828515622283	0.1390274805473972	0.1175482836714005	16.57589607371925	-27.368449333787055	25.639238343513753
